id;branch_code;account_code;expense_code;expense_category_code;expense_sub_category_code;created_by_username;date;voucher_no;description;amount;payment_mode;approval_status;approved_by;vendor;sync_status;created_by;created_date;last_modified_by;last_modified_date
1;memorise;tempting mesh immediately;pro;until profuse;ah following nor;zowie ack;2026-06-12;scrap;sock;2220.07;CASH;APPROVED;uncover eventually;onto enlightened;PENDING_OFFLINE;boulevard free worth;2026-06-11T19:16:44;solder into straight;2026-06-12T03:49:48
2;glum dial woot;querulous mmm;confused;phooey zowie;incline likewise;busily bootleg;2026-06-11;important as;yet joy;30797.63;BANK;DECLINED;team;whoever mostly;SYNCED;querulous;2026-06-12T02:05:36;fooey;2026-06-11T16:30:25
3;premium geez fooey;pace instantly unto;how kiss up;whoever;provided talkative;haze without;2026-06-11;underneath delicious since;except;11692.12;CHEQUE;PENDING;monthly maestro;exonerate gosh;SYNCED;whoa;2026-06-12T02:19:51;traffic of inasmuch;2026-06-12T01:33:35
4;rot annually drat;overcooked or courageously;inside parsnip youthfully;hm;judgementally gah fowl;worldly;2026-06-12;confound and including;so qua;18604.02;CHEQUE;FAILED;secret separate;minus;SYNCED;besmirch;2026-06-11T13:35:45;an yum;2026-06-11T21:11:17
5;jet after;cleverly qua;hoick;shimmering however hence;brush gosh;scarification;2026-06-11;object;if promptly;2179.07;CHEQUE;DECLINED;as jogging;although exotic twin;SYNCED;lobotomise vainly;2026-06-11T07:12:47;writhing juggernaut positively;2026-06-11T13:37:47
6;instead;limply seriously;doing lined elliptical;apud;excepting premium folklore;archaeology;2026-06-12;glow;ouch while;4259.12;BANK;FAILED;meh;rosemary inquisitively teeming;SYNCED;hole near;2026-06-11T20:32:43;concerning;2026-06-11T18:41:11
7;gosh versus list;wholly though;apud castanet affect;eek yuck lest;till up role;fooey;2026-06-11;customise;direct;16285.17;CASH;APPROVED;absent supposing while;maroon gosh measly;SYNCED;worth;2026-06-11T08:45:53;sternly;2026-06-12T03:23:08
8;congregate;juggernaut humble;duh notwithstanding mundane;cautiously shampoo;aw;past dull;2026-06-11;towards;brief some apropos;2535.45;CASH;DECLINED;seldom uh-huh;bran excepting;PENDING_OFFLINE;when into toward;2026-06-11T22:10:27;hello;2026-06-11T09:46:26
9;unique;honorable goodwill rapidly;traffic;the while;reborn usefully;sophisticated shrill oh;2026-06-11;and;card;12148.24;BANK;FAILED;stool hmph slowly;shakily;PENDING_OFFLINE;anti publicize;2026-06-12T05:03:26;substantiate mostly;2026-06-11T13:05:00
10;pish who mash;impractical deeply fooey;round;roasted ew;misread;sharply scamper incidentally;2026-06-11;communicate which;plus meanwhile;5063.62;CARD;APPROVED;times;criminal;PENDING_OFFLINE;past fondly amongst;2026-06-11T23:14:38;kit;2026-06-12T01:37:04
