id;branch_code;bank_ledger_code;date;reference_no;description;deposit_amount;withdrawal_amount;running_balance;remark;created_by;created_date;last_modified_by;last_modified_date
1;slight toothpick gracefully;scaly omelet;2026-06-12;adolescent;positively that;31699.99;15500.35;22400.87;where through sneak;trust;2026-06-11T17:53:45;while overburden awareness;2026-06-11T22:16:52
2;order precedent repossess;following butter incinerate;2026-06-12;among briefly lawmaker;why;24355.96;29551.98;12251.81;boohoo;excluding;2026-06-11T09:51:32;entomb;2026-06-11T14:56:36
3;aside lest;yuck who;2026-06-12;numb haze;savour;15020.51;25375.01;6179.97;sonnet;commodity;2026-06-11T23:32:49;huzzah;2026-06-11T20:42:41
4;ha supposing;er plus;2026-06-12;exalted weakly;kiss midst lest;32526.74;7630.08;318.23;sneaky;sticker;2026-06-11T20:11:20;community more;2026-06-11T17:53:36
5;how following decent;inferior;2026-06-11;although;awkwardly usefully sauerkraut;9060.29;1813.84;30007.35;naughty gosh stealthily;oh;2026-06-11T16:33:21;technologist unimpressively despite;2026-06-12T04:11:07
6;whereas decongestant;shark versus plus;2026-06-12;brr defendant yet;within;10996.14;23184.12;8127.09;hunt gazebo;windy;2026-06-11T11:41:52;a meaningfully dishearten;2026-06-12T03:05:36
7;flowery aha witty;scheme alert since;2026-06-12;pension;unzip but after;7352.71;11998.38;7477.14;commodity;huzzah highly key;2026-06-11T20:18:56;instead;2026-06-11T15:10:52
8;boohoo hm;under;2026-06-11;polarisation swanling diligently;finally willing delightfully;12047.15;17255.64;28246.82;cautiously;by feather;2026-06-12T04:32:26;even absent;2026-06-12T02:21:25
9;since coordination dependable;gracefully traditionalism which;2026-06-12;absent victoriously welcome;exhausted mean;25149.61;20468.18;24330.02;phew aching;yum;2026-06-12T03:21:49;poorly pro tough;2026-06-12T04:24:36
10;filter skyline dilate;during lend rally;2026-06-12;kielbasa drat eek;huzzah provided;5206.27;31302.11;20305.13;microblog;anenst nor;2026-06-12T02:01:30;recklessly because well-made;2026-06-11T10:00:50
