id;asset_category_code;asset_category_name;description;created_by;created_date;last_modified_by;last_modified_date
1;newsletter voluntarily gah;direct swift;impossible because;ouch;2026-06-11T21:04:37;instruction;2026-06-11T08:31:02
2;optimistically through supposing;wrathful;fooey fortunately;lady;2026-06-11T17:19:58;redress stitcher fuzzy;2026-06-12T06:10:38
3;restfully warp;when yearly glum;quadruple exhaust;curiously perfectly;2026-06-11T16:18:59;whoa under profitable;2026-06-11T07:13:34
4;hm mmm;crossly phooey however;zowie tightly dreary;mountain emphasize pave;2026-06-12T04:43:28;forenenst as;2026-06-12T02:17:56
5;for memorable mediocre;er;debit flight how;though provider;2026-06-11T07:32:09;stake arbitrate;2026-06-11T10:57:45
6;regarding bravely;hypothesize cutover;forgather untried;jungle spark since;2026-06-11T07:28:33;pro;2026-06-12T05:19:51
7;deform;besides;whoa;during;2026-06-12T05:15:52;ouch;2026-06-11T16:53:45
8;essay youthfully;standard;recompense although;plus grubby across;2026-06-11T15:19:41;because sniveling;2026-06-11T22:36:30
9;feather rise;frizz per embarrassment;when barring graffiti;soggy;2026-06-11T08:45:33;jaggedly;2026-06-12T05:53:46
10;gadzooks;duh;zowie diligently blissfully;executor oof strait;2026-06-11T13:43:24;furiously blah after;2026-06-11T10:50:38
