id;branch_code;account_code;account_name;account_type;sub_category;remark;created_by;created_date;last_modified_by;last_modified_date
1;cheese adaptation;awful developing seldom;Investment Account;INCOME;scruple ingratiate waist;valentine given;gee yahoo gee;2026-06-11T22:01:13;glass where until;2026-06-11T20:23:55
2;circulate alongside;if nor humiliating;Investment Account;EXPENSE;odd phooey;chow boohoo neatly;worst mothball;2026-06-11T10:23:42;sashay fatally obnoxiously;2026-06-11T18:34:58
3;consequently;fairly;Home Loan Account;EXPENSE;gosh slushy;handover;colorfully mid;2026-06-12T03:33:15;swanling bind cake;2026-06-11T15:23:29
4;glider until object;although;Auto Loan Account;EXPENSE;antelope;irritably alongside;linseed till;2026-06-11T22:33:10;raw;2026-06-11T09:08:50
5;down;noisily;Savings Account;EXPENSE;junior;whereas rejigger mentor;humor lieu back;2026-06-12T04:50:26;during brr;2026-06-11T16:35:35
6;wing fooey silently;meh entrench overdue;Savings Account;INCOME;pale whereas;swiftly ouch amid;plus;2026-06-11T16:09:14;hmph;2026-06-11T20:21:17
7;unwieldy angrily;bare stump orchestrate;Auto Loan Account;ASSET;oh freely;than duh;energetic;2026-06-11T11:27:54;notwithstanding;2026-06-11T18:47:48
8;apropos wholly;till;Credit Card Account;INCOME;huzzah carefree barring;to;beyond amidst indeed;2026-06-12T00:27:18;mount;2026-06-12T06:53:12
9;offensively pro orderly;dowse;Credit Card Account;EXPENSE;coliseum because;upward gape sport;drat;2026-06-11T20:23:08;redraw into;2026-06-11T12:15:51
10;yahoo;quaintly oh deafening;Investment Account;LIABILITY;questioningly sleepily;justly victoriously yum;miserly candid vacantly;2026-06-12T00:55:45;ah seemingly;2026-06-11T14:01:15
