id;branch_code;account_code;income_code;created_by_username;date;receipt_no;description;income_type;amount;payment_method;receivable_person;received_by;sync_status;created_by;created_date;last_modified_by;last_modified_date
1;affiliate personalise;hastily;for;reword and;2026-06-11;ack essay;dual;OFFERING;31264.58;BANK;clamor;garrote thigh;PENDING_OFFLINE;during controvert;2026-06-11T19:36:20;which ah mixed;2026-06-12T03:24:21
2;dock hm;whenever dual plan;fair yowza;by;2026-06-11;stool tensely nor;faraway;REGULAR;22435.87;CHEQUE;insert;given;SYNCED;aha at overconfidently;2026-06-11T18:26:06;since;2026-06-11T23:32:48
3;past;square outside rudely;because;throughout;2026-06-11;rationalise outrageous geez;cosset habit machine;EVENTS;12691.67;BANK;feather nor;legging;PENDING_OFFLINE;plumber necessary;2026-06-11T23:44:25;per outside;2026-06-12T04:38:45
4;ouch;shovel;ugh hot with;equally;2026-06-11;fooey;ouch;EVENTS;28085.72;BANK;unfinished gah drat;apud;PENDING_OFFLINE;round flint;2026-06-11T09:49:09;aside likewise;2026-06-12T05:04:06
5;geez brr squiggly;woot;poppy sure-footed and;sequester chubby;2026-06-11;except;via;DONATION;19708.89;CARD;energetically;typeface sheepishly opposite;PENDING_OFFLINE;versus;2026-06-11T16:39:35;fooey willfully;2026-06-12T02:13:49
6;aw co-producer;outdo circular;scuffle;electrify;2026-06-12;flat nucleotidase shipper;massive successfully rapid;REGULAR;1140.88;CHEQUE;warmhearted failing well;what ill where;SYNCED;dead;2026-06-11T22:43:50;to obligation;2026-06-11T09:18:29
7;yak onto;discontinue;of tomorrow boo;tomb coaxingly wholly;2026-06-11;powerfully what;inwardly;REGULAR;31194.01;CASH;subdued though a;remark ew;PENDING_OFFLINE;modulo who;2026-06-11T12:26:40;inhibit;2026-06-12T06:16:16
8;amongst astride;a rally;offset;grubby psst considering;2026-06-11;about throughout;transcend tennis eek;REGULAR;12735.21;BANK;blah;sympathetically psst chiffonier;SYNCED;admonish;2026-06-12T04:07:43;diligently;2026-06-11T21:01:05
9;an um majestically;from royal slope;tusk negative when;briefly;2026-06-11;who righteously evil;helpfully joshingly;DONATION;9639.92;BANK;whereas desk;that maestro meaty;PENDING_OFFLINE;archive uniform since;2026-06-12T04:55:03;accentuate promptly sorrowful;2026-06-11T21:24:41
10;oh official;happy-go-lucky;help;irresponsible;2026-06-11;swine generously cease;chap joyously ring;EVENTS;4239.27;CASH;waft soggy;although reassuringly important;PENDING_OFFLINE;geez;2026-06-12T06:01:12;yin depot aside;2026-06-11T08:39:16
